section,feature_name,display_term,term,normalized_term,canonical_term,matched_surface_terms,search_terms,source,wiki_category,wiki_url,wikidata_id,match_type,document_frequency,total_frequency,confidence_score
abstract,abstract__reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,exact,24,33,0.92
abstract,abstract__question answering,question answering,question answering,question answering,question answering,question answering; question-answering,question answering; question-answering,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Question_answering,Q1074173,exact; variant,18,26,0.92
abstract,abstract__training data,training data,training data,training data,training set,training data; training set,training data; training set,Wikidata SPARQL,machine learning,https://en.wikipedia.org/wiki/Training_set,Q3997298,alias; exact,16,20,0.72
abstract,abstract__transformer,transformer,transformer,transformer,transformer,transformer; transformer architecture; transformer model; transformer models; transformers,transformer; transformer architecture; transformer model; transformer models; transformers,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,alias; alias_variant; exact,15,38,0.92
abstract,abstract__end-to-end,end-to-end,end-to-end,end-to-end,end-to-end reinforcement learning,deep rl; end-to-end; end-to-end learning,deep rl; end-to-end; end-to-end learning; end-to-end reinforcement learning,Wikidata SPARQL,reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,alias; alias_variant,15,19,0.92
abstract,abstract__BERT,BERT,BERT,bert,bidirectional encoder representations from transformers,bert,bert; bidirectional encoder representations from transformers,Wikidata SPARQL,transformer machine learning model,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,alias,13,29,0.92
abstract,abstract__object detection,object detection,object detection,object detection,object detection,object detection,object detection,Wikidata SPARQL,computer vision,https://en.wikipedia.org/wiki/Object_detection,Q3045304,exact,13,18,0.92
abstract,abstract__attention,attention,attention,attention,attention,attention; attention mechanism,attention; attention mechanism,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,alias; exact,10,24,0.72
abstract,abstract__segmentation,segmentation,segmentation,segmentation,speech segmentation,segmentation,segmentation; speech segmentation,Wikidata SPARQL,natural language processing,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,alias,10,16,0.76
abstract,abstract__deep learning,deep learning,deep learning,deep learning,deep learning,deep learning,deep learning,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Deep_learning,Q197536,exact,10,11,0.72
abstract,abstract__natural language processing,natural language processing,natural language processing,natural language processing,Natural language processing,natural language processing; nlp,natural language processing; nlp,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,alias; exact,9,23,0.92
abstract,abstract__machine learning,machine learning,machine learning,machine learning,machine learning,machine learning,machine learning,Wikidata SPARQL,artificial intelligence,https://en.wikipedia.org/wiki/Machine_learning,Q2539,exact,9,11,0.92
abstract,abstract__deep neural networks,deep neural networks,deep neural networks,deep neural networks,deep neural network,deep network; deep networks; deep neural network; deep neural networks,deep network; deep networks; deep neural network; deep neural networks,Wikidata SPARQL,artificial neural network,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,alias; alias_variant; exact; variant,8,17,0.92
