display_term,term,normalized_term,canonical_term,matched_surface_terms,search_terms,source,reason,added_by,wiki_category,wiki_url,wikidata_id,match_type,document_frequency,total_frequency,confidence_score
training data,training data,training data,training set,training data; training dataset; training set; training-set,training data; training dataset; training set; training-set,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Training_set,Q3997298,alias; exact; variant,102,878,0.72
attention,attention,attention,attention,attention; attention mechanism,attention; attention mechanism,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,alias; exact,85,875,0.72
gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,gradient descent,wiki,matched official Wiki dictionary after technical filtering,,optimization algorithm,https://en.wikipedia.org/wiki/Gradient_descent,Q1199743,exact,83,215,0.82
embeddings,embeddings,embeddings,embedding,embedding; embeddings,embedding; embeddings,wiki,matched official Wiki dictionary after technical filtering,,large language model,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,alias; exact,82,1192,0.72
bias,bias,bias,prediction bias,bias; model bias,bias; model bias; prediction bias,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q139934379,alias,78,486,0.76
stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,stochastic gradient descent,sgd; sgd optimizer; stochastic gradient descent,sgd; sgd optimizer; stochastic gradient descent,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Stochastic_gradient_descent,Q7617819,alias; exact,63,325,0.72
end-to-end,end-to-end,end-to-end,end-to-end reinforcement learning,deep rl; deep-rl; e2e; end to end; end-to end; end-to-end; end-to-end learning,deep rl; deep-rl; e2e; end to end; end-to end; end-to-end; end-to-end learning; end-to-end reinforcement learning,wiki,matched official Wiki dictionary after technical filtering,,reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,alias; alias_variant,58,222,0.92
machine learning,machine learning,machine learning,machine learning,machine learning; machine-learning; statistical learning,machine learning; machine-learning; statistical learning,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,https://en.wikipedia.org/wiki/Machine_learning,Q2539,alias; exact; variant,56,237,0.92
deep learning,deep learning,deep learning,deep learning,deep learning; deep-learning,deep learning; deep-learning,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,https://en.wikipedia.org/wiki/Deep_learning,Q197536,exact; variant,56,162,0.72
transformer,transformer,transformer,transformer,transformer; transformer architecture; transformer model; transformer models; transformers,transformer; transformer architecture; transformer model; transformer models; transformers,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,alias; alias_variant; exact,53,819,0.92
natural language processing,natural language processing,natural language processing,Natural language processing,natural language processing; nlp,natural language processing; nlp,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,alias; exact,53,380,0.92
BERT,BERT,bert,bidirectional encoder representations from transformers,bert,bert; bidirectional encoder representations from transformers,wiki,matched official Wiki dictionary after technical filtering,,transformer machine learning model,https://en.wikipedia.org/wiki/BERT_%28language_model%29,Q61726893,alias,48,796,0.92
epoch,epoch,epoch,Epoch,epoch; training epoch,epoch; training epoch,wiki,matched official Wiki dictionary after technical filtering,,machine learning,,Q140192549,alias,48,97,0.92
question answering,question answering,question answering,question answering,question answering; question-answering,question answering; question-answering,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Question_answering,Q1074173,exact; variant,47,306,0.92
reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,reinforcement learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,exact,42,287,0.92
segmentation,segmentation,segmentation,speech segmentation,segmentation,segmentation; speech segmentation,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Speech_segmentation,Q2266173,alias,42,270,0.76
convolutional neural networks,convolutional neural networks,convolutional neural networks,Convolutional neural network,cnn,cnn; convolutional neural network; convolutional neural networks,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Cellular_neural_network,Q5058375,alias,41,258,0.92
machine translation,machine translation,machine translation,machine translation,automatic translation; machine translation; machine-translation,automatic translation; machine translation; machine-translation,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Machine_translation,Q79798,alias; exact; variant,40,163,0.92
self-attention,self-attention,self-attention,self-attention,self attention; self-attention; self-attention mechanism,self attention; self-attention; self-attention mechanism,wiki,matched official Wiki dictionary after technical filtering,,transformer machine learning model,,Q113364820,alias_variant; exact; variant,34,215,0.72
deep neural networks,deep neural networks,deep neural networks,deep neural network,deep network; deep networks; deep neural network; deep neural networks; dnn,deep network; deep networks; deep neural network; deep neural networks; dnn,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,alias; alias_variant; exact; variant,34,172,0.92
speech recognition,speech recognition,speech recognition,speech recognition,asr; automatic speech recognition; speech recognition; speech-to-text; stt,asr; automatic speech recognition; speech recognition; speech-to-text; stt,wiki,matched official Wiki dictionary after technical filtering,,natural language processing,https://en.wikipedia.org/wiki/Speech_recognition,Q189436,alias; alias_variant; exact,32,222,0.92
heuristic,heuristic,heuristic,heuristic,heuristic; heuristic algorithm,heuristic; heuristic algorithm,wiki,matched official Wiki dictionary after technical filtering,,artificial intelligence,https://en.wikipedia.org/wiki/Heuristic_%28computer_science%29,Q1981968,alias; exact,31,49,0.92
recurrent neural networks,recurrent neural networks,recurrent neural networks,Recurrent neural network,recurrent neural network; recurrent neural networks; rnn,recurrent neural network; recurrent neural networks; rnn,wiki,matched official Wiki dictionary after technical filtering,,artificial neural network,https://en.wikipedia.org/wiki/Recurrent_neural_network,Q1457734,alias; exact; variant,30,207,0.92
supervised learning,supervised learning,supervised learning,supervised learning,supervised learning; supervised machine learning,supervised learning; supervised machine learning,wiki,matched official Wiki dictionary after technical filtering,,machine learning,https://en.wikipedia.org/wiki/Supervised_learning,Q334384,alias; exact,30,83,0.76
object detection,object detection,object detection,object detection,object detection; object-detection,object detection; object-detection,wiki,matched official Wiki dictionary after technical filtering,,computer vision,https://en.wikipedia.org/wiki/Object_detection,Q3045304,exact; variant,29,193,0.92
