feature_name,section_original,section_mapped,term,canonical_term,display_term,term_type,ngram_len,pos_pattern,is_generic,role_prior,source_corpus,document_frequency,total_frequency,matched_surface_terms,search_terms,wiki_url,wikidata_id,notes
conclusion__training data,conclusion,conclusion,training data,training set,training data,dataset,bigram,NN NN,false,dataset,both,23,38,training data; training dataset; training set,training data; training dataset; training set,https://en.wikipedia.org/wiki/Training_set,Q3997298,pos=fallback
conclusion__reinforcement learning,conclusion,conclusion,reinforcement learning,reinforcement learning,reinforcement learning,method,bigram,NN NN,false,core_method,both,19,31,reinforcement learning,reinforcement learning,https://en.wikipedia.org/wiki/Reinforcement_learning,Q830687,pos=fallback
conclusion__deep learning,conclusion,conclusion,deep learning,deep learning,deep learning,method,bigram,JJ NN,false,core_method,both,15,25,deep learning,deep learning,https://en.wikipedia.org/wiki/Deep_learning,Q197536,pos=fallback
conclusion__natural language processing,conclusion,conclusion,natural language processing,Natural language processing,natural language processing,other,trigram,JJ NN NN,false,other,both,15,25,natural language processing; nlp,natural language processing; nlp,https://en.wikipedia.org/wiki/Natural_language_processing,Q30642,pos=fallback
conclusion__attention,conclusion,conclusion,attention,attention,attention,component,unigram,NN,false,core_method,both,14,31,attention; attention mechanism,attention; attention mechanism,https://en.wikipedia.org/wiki/Attention_%28machine_learning%29,Q103701642,pos=fallback
conclusion__transformer,conclusion,conclusion,transformer,transformer,transformer,model,unigram,NN,false,core_method,both,14,30,transformer; transformer model; transformer models; transformers,transformer; transformer model; transformer models; transformers,https://en.wikipedia.org/wiki/Transformer_%28deep_learning%29,Q85810444,pos=fallback
conclusion__deep neural networks,conclusion,conclusion,deep neural networks,deep neural network,deep neural networks,model,trigram,JJ JJ NN,false,core_method,both,14,17,deep network; deep networks; deep neural network; deep neural networks,deep network; deep networks; deep neural network; deep neural networks,https://en.wikipedia.org/wiki/Deep_neural_network,Q51289900,pos=fallback
conclusion__end-to-end,conclusion,conclusion,end-to-end,end-to-end reinforcement learning,end-to-end,other,bigram,NN NN,false,other,both,13,17,deep rl; deep-rl; end-to-end,deep rl; deep-rl; end-to-end; end-to-end reinforcement learning,https://en.wikipedia.org/wiki/End-to-end_reinforcement_learning,Q30589144,pos=fallback
conclusion__embeddings,conclusion,conclusion,embeddings,embedding,embeddings,component,unigram,NN,false,core_method,both,12,28,embedding; embeddings,embedding; embeddings,https://en.wikipedia.org/wiki/Embedding_%28machine_learning%29,Q133284072,pos=fallback
conclusion__bias,conclusion,conclusion,bias,prediction bias,bias,component,unigram,NN,false,core_method,both,11,19,bias,bias; prediction bias,nan,Q139934379,pos=fallback
